datetime,open,high,low,close,symbol
2025-06-19 15:27:00,7.12200,7.12200,7.12200,7.12200,ZAR/KES
2025-06-19 15:32:00,7.12400,7.12400,7.12400,7.12400,ZAR/KES
2025-06-19 15:37:00,7.12400,7.12400,7.12400,7.12400,ZAR/KES
2025-06-19 15:42:00,7.12400,7.12400,7.12400,7.12400,ZAR/KES
2025-06-19 15:47:00,7.11900,7.11900,7.11900,7.11900,ZAR/KES
2025-06-19 15:52:00,7.10900,7.10900,7.10900,7.10900,ZAR/KES
2025-06-19 16:57:00,7.10200,7.10200,7.10200,7.10200,ZAR/KES
2025-06-19 17:02:00,7.10300,7.10300,7.10300,7.10300,ZAR/KES
2025-06-19 17:07:00,7.090000,7.090000,7.090000,7.090000,ZAR/KES
2025-06-19 17:12:00,7.089000,7.089000,7.089000,7.089000,ZAR/KES
2025-06-19 17:17:00,7.089000,7.089000,7.089000,7.089000,ZAR/KES
2025-06-19 17:22:00,7.091000,7.091000,7.091000,7.091000,ZAR/KES
2025-06-19 22:57:00,7.090000,7.090000,7.090000,7.090000,ZAR/KES
2025-06-19 23:02:00,7.098000,7.098000,7.098000,7.098000,ZAR/KES
2025-06-19 23:07:00,7.100000,7.100000,7.100000,7.100000,ZAR/KES
2025-06-19 23:12:00,7.10100,7.10100,7.10100,7.10100,ZAR/KES
2025-06-19 23:17:00,7.10400,7.10400,7.10400,7.10400,ZAR/KES
2025-06-19 23:22:00,7.10400,7.10400,7.10400,7.10400,ZAR/KES
2025-06-19 23:27:00,7.10200,7.10200,7.10200,7.10200,ZAR/KES
2025-06-19 23:32:00,7.10100,7.10100,7.10100,7.10100,ZAR/KES
